category_id,category
464,의류 및 액세서리 > 의류 > 남성복 > 양말
465,의류 및 액세서리 > 의류 > 남성복 > 반바지
466,의류 및 액세서리 > 의류 > 남성복 > 스웨터
467,의류 및 액세서리 > 의류 > 남성복 > 바지
468,의류 및 액세서리 > 의류 > 남성복 > 스포츠웨어
469,의류 및 액세서리 > 의류 > 남성복 > 블레이저/스포츠 코트
470,의류 및 액세서리 > 의류 > 남성복 > 코트/재킷
471,의류 및 액세서리 > 의류 > 남성복 > 캐주얼 셔츠
472,의류 및 액세서리 > 의류 > 남성복
473,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 수영복
474,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 속옷
475,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 상의/티셔츠
476,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 운동복 상의/후드
477,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 스커트
478,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 양말/타이츠
479,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 반바지
480,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 잠옷
481,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 바지
482,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 스웨터
483,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 아우터
484,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 청바지
485,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 점프수트/롬퍼
486,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 레깅스
487,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 의상/세트
488,의류 및 액세서리 > 의류 > 아동복 > 여아복 > 드레스
489,의류 및 액세서리 > 의류 > 아동복 > 여아복
490,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 양말
491,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 정장
492,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 속옷
493,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 운동복 상의/후드
494,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 스웨터
495,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 수영복
496,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 상의/티셔츠
497,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 잠옷
498,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 의상/세트
499,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 바지
500,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 반바지
501,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 청바지
502,의류 및 액세서리 > 의류 > 아동복 > 남아복 > 아우터
503,의류 및 액세서리 > 의류 > 아동복 > 남아복
504,의류 및 액세서리 > 의류 > 아동복
505,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 상의
506,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 수영복
507,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 드레스
508,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 잠옷
509,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 아우터
510,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 하의
511,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 스웨터
512,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 의상/세트
513,의류 및 액세서리 > 의류 > 유아복 > 여아용 유아복 > 양말
